	obj1	predicate	obj2	prob	obj1_1	obj1_2	obj1_3	obj1_4	obj2_1	obj2_2	obj2_3	obj2_4
0	door	in	room	0.08990006893873215	62.95753479003906	164.87657165527344	148.54840087890625	301.0218505859375	0.0	2.060455322265625	568.6511840820312	444.2103576660156
1	towel	on	shelf	0.5583727955818176	464.7788391113281	224.1372528076172	507.4035949707031	252.4507598876953	457.31103515625	221.3310546875	575.202880859375	267.7801513671875
2	logo	on	paper	0.5853801965713501	39.663272857666016	362.62158203125	135.20921325683594	379.88580322265625	37.15986633300781	357.9934997558594	144.92750549316406	383.5917053222656
3	door	to	room	0.05971347540616989	459.6158447265625	10.5623779296875	585.179443359375	355.326416015625	0.0	2.060455322265625	568.6511840820312	444.2103576660156
4	light	in	room	0.06864263862371445	52.23802185058594	89.13629150390625	125.57768249511719	130.8590545654297	0.0	2.060455322265625	568.6511840820312	444.2103576660156
5	paper	on	table	0.5328429341316223	37.15986633300781	357.9934997558594	144.92750549316406	383.5917053222656	2.3413238525390625	322.7511901855469	230.6446990966797	442.3179626464844
7	shelf	on	door	0.2225232869386673	457.31103515625	221.3310546875	575.202880859375	267.7801513671875	461.75299072265625	272.5099792480469	578.5993041992188	428.6620178222656
8	door	in	room	0.06932879984378815	45.83210754394531	171.39788818359375	65.40049743652344	301.7755126953125	0.0	2.060455322265625	568.6511840820312	444.2103576660156
9	shelf	on	door	0.10292156040668488	457.31103515625	221.3310546875	575.202880859375	267.7801513671875	459.6158447265625	10.5623779296875	585.179443359375	355.326416015625
10	logo	on	table	0.16800206899642944	39.663272857666016	362.62158203125	135.20921325683594	379.88580322265625	2.3413238525390625	322.7511901855469	230.6446990966797	442.3179626464844
11	box	on	shelf	0.32274144887924194	485.0223388671875	216.9058380126953	585.0084228515625	266.55059814453125	457.31103515625	221.3310546875	575.202880859375	267.7801513671875
12	towel	hanging from	door	0.08199615776538849	464.7788391113281	224.1372528076172	507.4035949707031	252.4507598876953	459.6158447265625	10.5623779296875	585.179443359375	355.326416015625
13	box	in	door	0.12790867686271667	485.0223388671875	216.9058380126953	585.0084228515625	266.55059814453125	459.6158447265625	10.5623779296875	585.179443359375	355.326416015625
16	logo	on	paper	0.5673826336860657	39.663272857666016	362.62158203125	135.20921325683594	379.88580322265625	23.854881286621094	343.7978515625	201.57296752929688	430.42669677734375
