	obj1	predicate	obj2	prob	obj1_1	obj1_2	obj1_3	obj1_4	obj2_1	obj2_2	obj2_3	obj2_4
0	box	in	room	0.1592213362455368	306.6961364746094	45.1898307800293	374.6707458496094	128.78834533691406	5.51934814453125	0.0	591.0	442.02166748046875
1	light	in	room	0.14858511090278625	512.166015625	270.0528259277344	538.8077392578125	304.8451843261719	5.51934814453125	0.0	591.0	442.02166748046875
2	door	in	room	0.21465981006622314	0.0	9.486602783203125	144.764404296875	419.4874572753906	5.51934814453125	0.0	591.0	442.02166748046875
3	door	in	room	0.23684458434581757	103.62753295898438	0.0	578.5072021484375	417.1079406738281	5.51934814453125	0.0	591.0	442.02166748046875
4	table	in	room	0.16992804408073425	32.6644287109375	0.0	589.1309204101562	297.12542724609375	5.51934814453125	0.0	591.0	442.02166748046875
5	clock	in	room	0.13762514293193817	514.4468383789062	269.6043395996094	540.3228149414062	302.2593688964844	5.51934814453125	0.0	591.0	442.02166748046875
6	phone	in	room	0.07998843491077423	302.0819396972656	45.23609161376953	377.0979919433594	128.97445678710938	5.51934814453125	0.0	591.0	442.02166748046875
7	phone	has	box	0.18150633573532104	302.0819396972656	45.23609161376953	377.0979919433594	128.97445678710938	306.6961364746094	45.1898307800293	374.6707458496094	128.78834533691406
8	box	on	table	0.1862059235572815	306.6961364746094	45.1898307800293	374.6707458496094	128.78834533691406	32.6644287109375	0.0	589.1309204101562	297.12542724609375
9	box	in	door	0.1684047281742096	306.6961364746094	45.1898307800293	374.6707458496094	128.78834533691406	103.62753295898438	0.0	578.5072021484375	417.1079406738281
10	phone	on	table	0.2704058289527893	302.0819396972656	45.23609161376953	377.0979919433594	128.97445678710938	32.6644287109375	0.0	589.1309204101562	297.12542724609375
11	light	on	door	0.08207739144563675	512.166015625	270.0528259277344	538.8077392578125	304.8451843261719	103.62753295898438	0.0	578.5072021484375	417.1079406738281
12	clock	on	door	0.1702849417924881	514.4468383789062	269.6043395996094	540.3228149414062	302.2593688964844	103.62753295898438	0.0	578.5072021484375	417.1079406738281
