	obj1	predicate	obj2	prob	obj1_1	obj1_2	obj1_3	obj1_4	obj2_1	obj2_2	obj2_3	obj2_4
0	door	in	room	0.18716397881507874	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969	0.0	22.806320190429688	561.5089111328125	457.48651123046875
1	door	in	room	0.0835551843047142	12.058448791503906	30.487228393554688	216.0343017578125	438.4293212890625	0.0	22.806320190429688	561.5089111328125	457.48651123046875
2	light	over	door	0.04825076088309288	297.9046325683594	152.11212158203125	317.0612487792969	221.80181884765625	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969
4	door	in	room	0.087835393846035	386.9627685546875	46.23857116699219	561.6325073242188	369.5118408203125	0.0	22.806320190429688	561.5089111328125	457.48651123046875
5	door	on	house	0.3588981330394745	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969	0.0	7.7808074951171875	591.0	487.44317626953125
6	door	in	room	0.08812470734119415	291.559326171875	147.75962829589844	324.45513916015625	267.3753356933594	0.0	22.806320190429688	561.5089111328125	457.48651123046875
7	paper	on	door	0.1897674947977066	232.073486328125	176.66531372070312	256.5334777832031	227.8359375	202.16293334960938	57.29402160644531	393.8171081542969	480.0001220703125
8	window	on	door	0.2030397653579712	297.6474609375	156.060546875	319.2440185546875	233.94573974609375	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969
10	door	in	room	0.13953952491283417	209.94015502929688	96.02919006347656	257.9558410644531	360.474365234375	0.0	22.806320190429688	561.5089111328125	457.48651123046875
11	paper	on	board	0.5045627951622009	232.073486328125	176.66531372070312	256.5334777832031	227.8359375	225.60585021972656	167.1416015625	262.7867431640625	245.41220092773438
12	light	on	door	0.04351300001144409	297.9046325683594	152.11212158203125	317.0612487792969	221.80181884765625	291.559326171875	147.75962829589844	324.45513916015625	267.3753356933594
13	paper	on	door	0.24508251249790192	232.073486328125	176.66531372070312	256.5334777832031	227.8359375	209.94015502929688	96.02919006347656	257.9558410644531	360.474365234375
14	door	on	house	0.3249422609806061	386.9627685546875	46.23857116699219	561.6325073242188	369.5118408203125	0.0	7.7808074951171875	591.0	487.44317626953125
15	door	has	window	0.12248164415359497	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969	297.6474609375	156.060546875	319.2440185546875	233.94573974609375
18	door	on	house	0.24483121931552887	291.559326171875	147.75962829589844	324.45513916015625	267.3753356933594	0.0	7.7808074951171875	591.0	487.44317626953125
19	window	in	room	0.09889844059944153	297.6474609375	156.060546875	319.2440185546875	233.94573974609375	0.0	22.806320190429688	561.5089111328125	457.48651123046875
20	light	on	house	0.12425678968429565	297.9046325683594	152.11212158203125	317.0612487792969	221.80181884765625	0.0	7.7808074951171875	591.0	487.44317626953125
21	door	on	train	0.17671576142311096	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969	31.03607177734375	64.86265563964844	588.7496948242188	400.98284912109375
22	board	in	room	0.09772568941116333	225.60585021972656	167.1416015625	262.7867431640625	245.41220092773438	0.0	22.806320190429688	561.5089111328125	457.48651123046875
23	door	on	cabinet	0.1742110699415207	264.8194580078125	118.5231704711914	373.60418701171875	340.4430847167969	68.17359924316406	46.143218994140625	477.212646484375	509.2641296386719
