	obj1	predicate	obj2	prob	obj1_1	obj1_2	obj1_3	obj1_4	obj2_1	obj2_2	obj2_3	obj2_4
0	sign	on	door	0.6024795174598694	106.06793212890625	188.56129455566406	136.13214111328125	211.16392517089844	77.37358093261719	130.82838439941406	166.13375854492188	351.87646484375
1	door	in	room	0.12002737820148468	77.37358093261719	130.82838439941406	166.13375854492188	351.87646484375	0.0	30.809173583984375	536.576171875	468.4503173828125
2	paper	on	board	0.6081334352493286	325.27850341796875	148.64389038085938	364.6751708984375	182.56259155273438	263.6177978515625	121.90016174316406	424.0208740234375	424.7655029296875
3	door	to	room	0.07224836945533752	2.705902099609375	99.38285827636719	67.51715087890625	392.75286865234375	0.0	30.809173583984375	536.576171875	468.4503173828125
4	paper	on	door	0.26471036672592163	325.27850341796875	148.64389038085938	364.6751708984375	182.56259155273438	33.066864013671875	57.773223876953125	409.2093200683594	523.2803955078125
5	paper	on	door	0.14397715032100677	325.27850341796875	148.64389038085938	364.6751708984375	182.56259155273438	349.96209716796875	23.464431762695312	583.478759765625	429.25482177734375
6	door	to	room	0.05798163264989853	263.9188232421875	106.11488342285156	432.64080810546875	429.6676025390625	0.0	30.809173583984375	536.576171875	468.4503173828125
8	door	to	room	0.07591963559389114	349.96209716796875	23.464431762695312	583.478759765625	429.25482177734375	0.0	30.809173583984375	536.576171875	468.4503173828125
9	board	in	room	0.1018955186009407	263.6177978515625	121.90016174316406	424.0208740234375	424.7655029296875	0.0	30.809173583984375	536.576171875	468.4503173828125
10	door	in	room	0.12340909987688065	44.578819274902344	126.99188232421875	70.74175262451172	332.7413024902344	0.0	30.809173583984375	536.576171875	468.4503173828125
11	handle	on	door	0.33934974670410156	147.95423889160156	155.54310607910156	162.8777618408203	221.3372344970703	77.37358093261719	130.82838439941406	166.13375854492188	351.87646484375
12	door	in	room	0.06902547180652618	33.066864013671875	57.773223876953125	409.2093200683594	523.2803955078125	0.0	30.809173583984375	536.576171875	468.4503173828125
